case,field,before,after,delta,expected,ok
case1_penalty_400_to_1000,employeeNet,1169400,569400,-600000,-600000,OK
case1_penalty_400_to_1000,laborCost,41339379,40739379,-600000,-600000,OK
case1_penalty_400_to_1000,spaProfit,40680621,41280621,600000,600000,OK
case1_penalty_400_to_1000,branchNet,10631700,10031700,-600000,-600000,OK
case1_penalty_400_to_1000,systemNet,41339379,40739379,-600000,-600000,OK
case1_penalty_400_to_1000,excelNet,1169400,569400,-600000,-600000,OK
case1_penalty_400_to_1000,pdfNet,1169400,569400,-600000,-600000,OK
case2_advance_500_to_200,employeeNet,69400,369400,300000,300000,OK
case2_advance_500_to_200,laborCost,40239379,40539379,300000,300000,OK
case2_advance_500_to_200,spaProfit,41780621,41480621,-300000,-300000,OK
case2_advance_500_to_200,branchNet,9531700,9831700,300000,300000,OK
case2_advance_500_to_200,systemNet,40239379,40539379,300000,300000,OK
case2_advance_500_to_200,excelNet,69400,369400,300000,300000,OK
case2_advance_500_to_200,pdfNet,69400,369400,300000,300000,OK
case3_kpi_0_to_minus300,employeeNet,369400,69400,-300000,-300000,OK
case3_kpi_0_to_minus300,laborCost,40539379,40239379,-300000,-300000,OK
case3_kpi_0_to_minus300,spaProfit,41480621,41780621,300000,300000,OK
case3_kpi_0_to_minus300,branchNet,9831700,9531700,-300000,-300000,OK
case3_kpi_0_to_minus300,systemNet,40539379,40239379,-300000,-300000,OK
case3_kpi_0_to_minus300,excelNet,369400,69400,-300000,-300000,OK
case3_kpi_0_to_minus300,pdfNet,369400,69400,-300000,-300000,OK
case4_kpi_minus300_to_500,employeeNet,69400,869400,800000,800000,OK
case4_kpi_minus300_to_500,laborCost,40239379,41039379,800000,800000,OK
case4_kpi_minus300_to_500,spaProfit,41780621,40980621,-800000,-800000,OK
case4_kpi_minus300_to_500,branchNet,9531700,10331700,800000,800000,OK
case4_kpi_minus300_to_500,systemNet,40239379,41039379,800000,800000,OK
case4_kpi_minus300_to_500,excelNet,69400,869400,800000,800000,OK
case4_kpi_minus300_to_500,pdfNet,69400,869400,800000,800000,OK
case5_bonus_0_to_500,employeeNet,869400,1369400,500000,500000,OK
case5_bonus_0_to_500,laborCost,41039379,41539379,500000,500000,OK
case5_bonus_0_to_500,spaProfit,40980621,40480621,-500000,-500000,OK
case5_bonus_0_to_500,branchNet,10331700,10831700,500000,500000,OK
case5_bonus_0_to_500,systemNet,41039379,41539379,500000,500000,OK
case5_bonus_0_to_500,excelNet,869400,1369400,500000,500000,OK
case5_bonus_0_to_500,pdfNet,869400,1369400,500000,500000,OK
